sexo;comprimento;diametro;altura;peso total;peso carne;peso visceras;peso concha;aneis
M;0,46;0,37;0,1;0,51;0,22;0,1;0,15;15
M;0,35;0,27;0,09;0,23;0,1;0,05;0,07;7
F;0,53;0,42;0,14;0,68;0,26;0,14;0,21;9
M;0,44;0,37;0,13;0,52;0,22;0,11;0,16;10
I;0,33;0,26;0,08;0,21;0,09;0,04;0,06;7
I;0,43;0,3;0,1;0,35;0,14;0,08;0,12;8
F;0,53;0,42;0,15;0,78;0,24;0,14;0,33;20
F;0,55;0,43;0,13;0,77;0,29;0,15;0,26;16
M;0,48;0,37;0,13;0,51;0,22;0,11;0,17;9
F;0,55;0,44;0,15;0,89;0,31;0,15;0,32;19
F;0,53;0,38;0,14;0,61;0,19;0,15;0,21;14
M;0,43;0,35;0,11;0,41;0,17;0,08;0,14;10
M;0,49;0,38;0,14;0,54;0,22;0,1;0,19;11
F;0,54;0,41;0,15;0,68;0,27;0,17;0,21;10
F;0,47;0,36;0,1;0,48;0,17;0,08;0,19;10
M;0,5;0,4;0,13;0,66;0,26;0,13;0,24;12
I;0,36;0,28;0,09;0,29;0,1;0,04;0,12;7
F;0,44;0,34;0,1;0,45;0,19;0,09;0,13;10
M;0,37;0,3;0,08;0,26;0,1;0,04;0,1;7
M;0,45;0,32;0,1;0,38;0,17;0,08;0,12;9
M;0,36;0,28;0,1;0,25;0,1;0,06;0,08;11
I;0,38;0,28;0,1;0,23;0,08;0,05;0,09;10
F;0,57;0,44;0,16;0,94;0,43;0,21;0,27;12
F;0,55;0,42;0,14;0,76;0,32;0,21;0,2;9
F;0,62;0,48;0,17;11,62;0,51;0,3;0,31;10
F;0,56;0,44;0,14;1,64;0,38;0,19;0,3;11
F;0,58;0,45;0,19;1,34;0,39;0,27;0,29;11
M;0,59;0,45;0,14;1,8;0,36;0,23;0,28;12
M;0,61;0,48;0,18;17,1;0,39;0,22;0,3;15
M;0,58;0,43;0,14;1,22;0,39;0,23;0,2;11
M;0,58;0,47;0,17;1,29;0,39;0,24;0,33;10
F;0,68;0,56;0,17;1,25;0,61;0,28;0,46;15
M;0,67;0,53;0,17;1,19;0,55;0,36;0,35;18
F;0,68;0,55;0,18;1,1;0,82;0,39;0,46;19
F;0,71;0,55;0,2;10,08;0,63;0,41;0,49;13
M;0,47;0,36;0,11;11,03;0,23;0,12;0,13;8
F;0,54;0,48;0,16;1,62;0,53;0,31;0,34;16
F;0,45;0,36;0,11;13,18;0,24;0,12;0,15;8
F;0,58;0,45;0,14;1,01;0,38;0,2;0,26;11
M;0,36;0,29;0,09;1,3;0,13;0,09;0,09;9
F;0,45;0,34;0,11;1,2;0,19;0,09;0,12;9
F;0,55;0,43;0,14;1,12;0,36;0,2;0,27;14
I;0,24;0,18;0,05;1,26;0,03;0,02;0,02;5
I;0,21;0,15;0,06;1,49;0,03;0,02;0,01;5
I;0,21;0,15;0,05;1,61;0,02;0,01;0,02;4
I;0,39;0,3;0,1;11,74;0,09;0,05;0,08;7
M;0,47;0,37;0,12;17,26;0,29;0,23;0,14;9
F;0,46;0,38;0,12;1,96;0,18;0,11;0,15;7
I;0,33;0,25;0,07;1,26;0,08;0,03;0,05;6
F;0,53;0,43;0,16;13,45;0,35;0,21;0,25;9
I;0,52;0,41;0,12;1,05;0,24;0,11;0,19;8
M;0,4;0,32;0,1;11,19;0,13;0,06;0,1;7
M;0,49;0,36;0,13;13,72;0,26;0,1;0,16;10
F;0,47;0,36;0,12;10,57;0,21;0,11;0,15;10
M;0,41;0,31;0,1;1,51;0,17;0,09;0,11;7
F;0,5;0,4;0,14;1,12;0,26;0,18;0,22;8
M;0,45;0,35;0,12;1,06;0,19;0,1;0,14;8
M;0,47;0,39;0,14;1,22;0,28;0,12;0,17;8
I;0,25;0,19;0,06;12,45;0,04;0,01;0,03;4
F;0,51;0,4;0,13;2,14;0,25;0,13;0,18;7
M;0,45;0,35;0,11;1,75;0,18;0,11;0,14;7
M;0,51;0,41;0,11;2,12;0,31;0,16;0,18;9
F;0,53;0,41;0,13;1,84;0,3;0,19;0,2;10
M;0,43;0,33;0,1;1,98;0,17;0,08;0,1;7
M;0,52;0,4;0,12;16,19;0,23;0,13;0,19;8
M;0,48;0,36;0,12;19,57;0,23;0,1;0,14;8
F;0,57;0,44;0,16;1,07;0,35;0,19;0,32;12
F;0,6;0,5;0,19;1,37;0,42;0,22;0,49;13
F;0,48;0,39;0,12;10,24;0,21;0,12;0,17;10
I;0,31;0,24;0,07;10,17;0,06;0,04;0,05;6
M;0,56;0,43;0,13;15,68;0,26;0,17;0,28;13
F;0,4;0,32;0,11;1,22;0,14;0,1;0,1;8
F;0,6;0,48;0,17;10,53;0,48;0,23;0,43;20
M;0,57;0,48;0,18;1,38;0,47;0,26;0,38;11
F;0,61;0,45;0,2;1,2;0,48;0,29;0,32;13
F;0,6;0,48;0,15;11,6;0,44;0,22;0,28;15
M;0,6;0,48;0,14;10,23;0,36;0,19;0,32;9
F;0,6;0,47;0,15;13,04;0,36;0,19;0,31;10
F;0,56;0,43;0,14;11,02;0,28;0,16;0,29;11
F;0,62;0,48;0,17;14,46;0,47;0,24;0,35;14
F;0,58;0,45;0,14;11,24;0,38;0,25;0,29;9
M;0,62;0,51;0,18;10,61;0,51;0,19;0,68;12
F;0,52;0,43;0,17;1,09;0,4;0,23;0,32;16
M;0,6;0,48;0,16;12,42;0,41;0,23;0,58;21
M;0,58;0,45;0,14;1,01;0,38;0,22;0,36;14
F;0,57;0,47;0,18;1,42;0,34;0,22;0,44;12
M;0,63;0,47;0,14;11,02;0,48;0,21;0,4;13
M;0,56;0,44;0,16;1,78;0,33;0,21;0,26;10
F;0,46;0,36;0,13;1,19;0,22;0,11;0,17;9
F;0,58;0,45;0,16;1,22;0,31;0,23;0,33;12
M;0,57;0,43;0,14;1,53;0,34;0,17;0,26;15
M;0,56;0,44;0,15;1,26;0,31;0,15;0,26;12
M;0,6;0,47;0,18;1,84;0,4;0,25;0,39;13
F;0,63;0,5;0,17;13,49;0,51;0,32;0,39;10
M;0,7;0,56;0,19;1,64;0,59;0,34;0,49;15
M;0,67;0,54;0,2;1,48;0,58;0,39;0,48;14
M;0,54;0,44;0,15;12,77;0,27;0,14;0,25;9
M;0,47;0,38;0,13;1,12;0,21;0,13;0,15;8
M;0,47;0,37;0,13;1,01;0,2;0,13;0,17;7
F;0,48;0,38;0,13;10,58;0,28;0,09;0,16;10
